WA1,WA2,ApL1,ApL2,MaxP,MaxV2,MaxV3,MaxM2,MaxM3,MaxT,U1,U2,U3,R1,R2,R3,PGA,fc,Ec,fy,fu
327.08119745, 964.72919375, 4.00000000, 9.00000000, -7033.92509792, -1300.33013599, -61.35755196, 640.53126817, 5180.07546339, 87.03009698, -0.00012976, 0.01410920, -0.00017798, 0.00117922, -0.00005925, 0.00016345,0.52740000, 26.19854942, 23605.54683631, 398.25021573, 734.98669146
610.90526175, 512.65243540, 6.00000000, 9.00000000, -9014.57774423, 1417.10595261, -98.49645477, 842.52559926, 5200.00613525, 161.11671309, 0.00009197, 0.01513766, -0.00008786, 0.00165398, -0.00000896, 0.00008595,0.69520000, 39.10614953, 29781.07199072, 387.34332138, 655.28141692
483.16383885, 523.30245730, 9.00000000, 9.00000000, -9833.37618921, 1645.80646916, -134.00586968, 909.38362349, 5550.17255561, 219.64761323, -0.00082896, 0.04055343, 0.00017614, 0.00224011, -0.00019871, 0.00029980,0.19130000, 28.37195176, 26089.63504298, 492.14246014, 787.37173900
439.60269955, 973.63363195, 8.00000000, 9.00000000, -13199.08756158, -1898.79583258, -223.85626333, 1664.28769071, 6400.23982048, 468.24279902, 0.00450302, 0.15142746, 0.00076233, 0.00334059, 0.00074575, 0.00087942,0.27290000, 31.16373712, 25729.32354246, 405.31491531, 722.26966447
405.41671765, 294.00336700, 7.00000000, 5.00000000, -11576.31671634, -1661.26035505, -186.11125534, 1378.90710411, 5543.73508800, 327.64406921, 0.00207395, 0.09553538, 0.00060580, 0.00267973, 0.00032093, 0.00052283,0.78320000, 31.47992264, 25505.32326523, 449.89307462, 675.46092730
578.52370345, 628.18457905, 9.00000000, 9.00000000, -11430.65214825, 1640.61516110, -163.15464170, 1247.16647965, 5535.13911287, 265.75673749, 0.00013516, 0.04668265, 0.00035275, 0.00241703, -0.00001248, 0.00030232,1.02670000, 32.27593548, 26247.64764065, 499.89611748, 721.00216731
346.59643095, 915.39193760, 9.00000000, 9.00000000, -13283.69865672, -1890.30841569, -233.88041153, 1673.91377340, 6356.08782662, 495.18929464, 0.00455554, 0.15011104, 0.00081085, 0.00286003, 0.00073993, 0.00093003,0.27290000, 42.76630943, 32018.71571116, 471.98130742, 662.53425208
652.36777795, 1038.46539510, 9.00000000, 9.00000000, -7421.86016585, -1489.60967121, -96.59947041, 795.95212932, 4993.27625086, 101.88219618, -0.00009990, 0.02117353, -0.00008087, 0.00118119, -0.00001899, 0.00019135,0.65880000, 33.82340524, 27963.59383482, 455.57645038, 723.06085214
250.83449370, 217.35459060, 4.00000000, 9.00000000, -7203.61347700, -1485.42109323, -115.46917234, 972.26100056, 4976.19663509, 93.03944685, -0.00089409, 0.02115448, -0.00003996, 0.00118890, -0.00017076, 0.00016204,0.65880000, 36.31893847, 27790.79875541, 509.76598360, 759.49465110
102.08722650, 619.89795980, 2.00000000, 9.00000000, -11360.93924349, -1659.01825148, -243.57334903, 1755.10289322, 5554.36100539, 365.26239049, 0.00079716, 0.05146550, 0.00085845, 0.00252664, 0.00012149, 0.00040156,0.82380000, 33.64275380, 28414.23400799, 575.85797149, 684.65614346
72.96147600, 600.44156620, 1.00000000, 9.00000000, -11360.93924349, -1659.01825148, -243.57334903, 1755.10289322, 5554.36100539, 365.26239049, -0.00226007, 0.00053823, -0.00075699, 0.00001707, -0.00043776, 0.00002724,0.00000000, 37.82597943, 30068.29824835, 486.06750299, 668.67159071
45.46362940, 269.86920135, 1.00000000, 4.00000000, -9380.30378488, 1587.96653170, -140.36013867, 995.00129364, 5305.17777972, 209.98229179, -0.00126017, 0.04114283, 0.00026182, 0.00217117, -0.00028696, 0.00031758,0.19130000, 29.71407634, 26313.63342752, 419.64422812, 655.50259650
372.34869385, 680.65015655, 9.00000000, 9.00000000, -7363.12279387, -1222.33659316, -75.48671481, 719.21809910, 4799.57869063, 87.04418034, -0.00041738, 0.01286531, -0.00021940, 0.00117859, -0.00010741, 0.00016348,0.52740000, 32.03749120, 26568.27425729, 472.42662573, 733.71228679
675.76644485, 560.79328025, 7.00000000, 9.00000000, -11170.69812685, -1607.12932164, -162.37724134, 1288.37778590, 5384.23789959, 294.46863393, -0.00013136, 0.04756063, 0.00040211, 0.00234907, -0.00007325, 0.00024825,1.02670000, 32.67613604, 26185.47957693, 420.78401818, 703.92592435
941.10497390, 171.28294890, 9.00000000, 3.00000000, -11170.69812685, -1607.12932164, -162.37724134, 1288.37778590, 5384.23789959, 294.46863393, -0.00232545, -0.00072715, -0.00078926, 0.00010370, -0.00043648, -0.00005507,0.00000000, 34.42785527, 28568.63979482, 521.58010212, 736.53873062
