ApL1,ApL2,Ec,MaxM2,MaxM3,MaxP,MaxT,MaxV2,MaxV3,PGA,U1,U2,U3,WA1,WA2,fc,fu,fy
9.000000e+000,9.000000e+000,2.458339e+004,8.477377e+002,5.138898e+003,-9.103020e+003,1.792843e+002,-1.451328e+003,-1.007967e+002,4.031000e-001,8.066900e-004,2.556421e-002,-1.537300e-004,8.368897e+002,7.741958e+002,2.798744e+001,6.618064e+002,4.281490e+002
9.000000e+000,9.000000e+000,2.525632e+004,8.826746e+002,4.826413e+003,-8.963629e+003,1.233876e+002,-1.645862e+003,-1.031255e+002,4.472000e-001,-6.768800e-004,6.628000e-005,-2.308800e-004,8.440192e+002,9.033788e+002,2.913390e+001,6.756078e+002,3.889381e+002
9.000000e+000,9.000000e+000,2.528019e+004,9.700616e+002,5.610298e+003,-1.179530e+004,2.985301e+002,1.678353e+003,-1.495997e+002,6.588000e-001,2.675160e-003,9.483770e-002,1.916200e-004,1.101552e+003,7.524446e+002,2.922979e+001,6.827360e+002,4.295281e+002
9.000000e+000,9.000000e+000,2.263160e+004,7.719296e+002,4.748497e+003,-7.297330e+003,9.238711e+001,-1.659018e+003,-8.221046e+001,6.588000e-001,-5.347800e-004,1.444135e-002,-2.164500e-004,9.772425e+002,8.363994e+002,2.459104e+001,7.365637e+002,4.299798e+002
9.000000e+000,9.000000e+000,2.702204e+004,9.192653e+002,5.384238e+003,-1.111647e+004,2.511714e+002,-1.698360e+003,-1.422343e+002,4.472000e-001,7.309000e-004,4.451522e-002,4.896400e-004,9.127736e+002,1.093334e+003,2.996092e+001,6.810818e+002,4.063040e+002
9.000000e+000,9.000000e+000,2.498783e+004,1.549122e+003,5.881323e+003,-1.217830e+004,3.828813e+002,1.489042e+003,-2.322728e+002,6.952000e-001,5.391900e-004,9.726543e-002,8.024200e-004,1.085527e+003,9.983954e+002,2.836033e+001,7.257863e+002,4.252653e+002
9.000000e+000,9.000000e+000,2.588446e+004,8.749479e+002,5.013612e+003,-7.391783e+003,1.426096e+002,-1.288738e+003,-1.005200e+002,6.952000e-001,1.016240e-003,4.391256e-002,8.967000e-005,9.411050e+002,9.137935e+002,2.971408e+001,7.466199e+002,3.889381e+002
9.000000e+000,9.000000e+000,2.621854e+004,1.305468e+003,5.500097e+003,-9.086644e+003,3.783421e+002,-1.571311e+003,-1.623772e+002,5.274000e-001,1.876720e-003,5.296070e-002,4.417400e-004,7.536018e+002,1.011134e+003,2.974303e+001,6.559713e+002,4.297141e+002
9.000000e+000,7.000000e+000,2.586217e+004,1.299157e+003,6.087611e+003,-1.176471e+004,3.644459e+002,-1.585132e+003,-1.882548e+002,6.952000e-001,4.986990e-003,1.495958e-001,7.747400e-004,9.556090e+002,9.316318e+002,2.913390e+001,6.929266e+002,4.223095e+002
9.000000e+000,9.000000e+000,2.589450e+004,9.107482e+002,5.432862e+003,-9.245344e+003,2.067171e+002,1.390839e+003,-1.194982e+002,4.031000e-001,-3.224900e-004,3.683937e-002,2.865100e-004,9.341324e+002,9.716919e+002,2.942618e+001,6.795860e+002,4.137444e+002
9.000000e+000,9.000000e+000,2.551489e+004,8.375999e+002,5.240082e+003,-9.094248e+003,2.295788e+002,-1.905405e+003,-1.018985e+002,6.588000e-001,-1.500900e-004,4.411976e-002,2.722600e-004,7.575833e+002,9.736336e+002,2.974471e+001,6.706000e+002,4.326372e+002
9.000000e+000,9.000000e+000,2.552072e+004,6.111561e+002,4.989360e+003,-9.045957e+003,9.872120e+001,-1.595423e+003,-7.343438e+001,5.274000e-001,1.072700e-004,1.380879e-002,-7.569900e-004,7.726954e+002,9.153920e+002,2.894047e+001,7.351204e+002,4.081907e+002
9.000000e+000,9.000000e+000,2.567751e+004,1.004532e+003,4.982685e+003,-8.614596e+003,1.113627e+002,1.583055e+003,-1.396667e+002,5.274000e-001,-1.861400e-004,1.245711e-002,-7.403000e-004,9.736336e+002,9.362801e+002,2.891666e+001,7.156846e+002,4.192551e+002
9.000000e+000,9.000000e+000,2.617252e+004,1.288378e+003,5.478359e+003,-1.150452e+004,3.281479e+002,-1.590323e+003,-1.785706e+002,5.274000e-001,2.549900e-004,3.718818e-002,1.298100e-004,1.014753e+003,1.038975e+003,2.960621e+001,6.845334e+002,4.296744e+002
5.000000e+000,9.000000e+000,2.592119e+004,9.197860e+002,5.554009e+003,-1.011001e+004,2.551456e+002,1.608615e+003,-1.571061e+002,5.274000e-001,-1.709000e-004,4.502754e-002,4.021100e-004,8.559048e+002,7.741566e+002,2.992901e+001,6.773862e+002,4.186860e+002
9.000000e+000,9.000000e+000,2.397298e+004,7.774667e+002,4.833653e+003,-7.816196e+003,1.001064e+002,-1.459224e+003,-8.100166e+001,6.952000e-001,4.556700e-004,5.135392e-002,2.746000e-004,9.037906e+002,7.259569e+002,2.863483e+001,7.104217e+002,4.144504e+002
9.000000e+000,9.000000e+000,2.413564e+004,8.211270e+002,5.057778e+003,-9.391890e+003,1.608739e+002,1.580276e+003,-8.837043e+001,6.952000e-001,4.253520e-003,4.407305e-002,-8.021000e-005,7.575833e+002,1.195656e+003,2.686465e+001,6.696921e+002,4.213515e+002
9.000000e+000,9.000000e+000,2.574894e+004,1.256260e+003,5.375766e+003,-1.010539e+004,3.233373e+002,-1.644125e+003,-1.571061e+002,4.031000e-001,5.669300e-004,4.520856e-002,2.126700e-004,8.082641e+002,7.193864e+002,2.964084e+001,6.940895e+002,4.167650e+002
9.000000e+000,9.000000e+000,2.592517e+004,7.233369e+002,5.217539e+003,-7.363123e+003,1.227067e+002,1.216441e+003,-8.113798e+001,6.952000e-001,2.211780e-003,1.547221e-002,-9.684000e-005,8.410870e+002,8.489225e+002,2.971408e+001,6.518048e+002,4.250190e+002
9.000000e+000,9.000000e+000,2.526249e+004,1.353660e+003,5.622721e+003,-1.288443e+004,4.717001e+002,-1.669109e+003,-1.878728e+002,4.031000e-001,1.300670e-003,4.502386e-002,1.372400e-004,1.295037e+003,1.049115e+003,2.796092e+001,6.636000e+002,4.190652e+002
9.000000e+000,9.000000e+000,2.668232e+004,9.439968e+002,5.466664e+003,-9.183296e+003,1.959770e+002,-1.344118e+003,-1.403601e+002,4.472000e-001,1.715000e-005,2.008435e-002,1.002700e-004,1.033807e+003,9.037906e+002,2.992266e+001,7.560141e+002,4.190652e+002
9.000000e+000,9.000000e+000,2.499714e+004,8.493442e+002,4.914291e+003,-8.685579e+003,1.118970e+002,-1.620860e+003,-9.885641e+001,4.031000e-001,5.771100e-004,3.754495e-002,-1.434200e-004,1.295037e+003,9.984150e+002,2.773625e+001,6.922992e+002,4.151475e+002
9.000000e+000,9.000000e+000,2.599529e+004,9.960240e+002,5.801771e+003,-1.143820e+004,2.658894e+002,1.471175e+003,-1.844038e+002,6.952000e-001,2.884500e-004,3.687438e-002,1.884700e-004,8.366544e+002,8.533060e+002,2.946615e+001,7.540743e+002,3.931584e+002
9.000000e+000,9.000000e+000,2.410971e+004,7.404731e+002,5.029776e+003,-7.732480e+003,1.170232e+002,-1.582713e+003,-7.865752e+001,6.588000e-001,-2.100800e-004,2.587056e-002,-1.541900e-004,8.734489e+002,9.050557e+002,2.798963e+001,7.114897e+002,4.285300e+002
9.000000e+000,8.000000e+000,2.581213e+004,9.051061e+002,5.216330e+003,-8.876813e+003,1.229097e+002,-1.785782e+003,-1.102225e+002,6.588000e-001,-7.822200e-004,2.419336e-002,1.658600e-004,6.968802e+002,7.193864e+002,2.934842e+001,7.317538e+002,4.009176e+002
9.000000e+000,9.000000e+000,2.525632e+004,1.728168e+003,6.423750e+003,-1.352521e+004,4.749237e+002,-1.333688e+003,-2.415811e+002,5.274000e-001,6.951400e-004,9.544257e-002,1.145900e-004,9.153920e+002,1.096884e+003,2.970211e+001,7.207940e+002,4.238040e+002
9.000000e+000,9.000000e+000,2.420882e+004,8.284861e+002,5.634118e+003,-1.130745e+004,2.669215e+002,1.488823e+003,-1.114556e+002,5.274000e-001,-6.965800e-004,9.357249e-002,2.917200e-004,7.404904e+002,8.082641e+002,2.806291e+001,7.077737e+002,4.207840e+002
9.000000e+000,9.000000e+000,2.532475e+004,7.233369e+002,4.902001e+003,-7.289472e+003,8.709486e+001,-1.636679e+003,-7.481233e+001,6.952000e-001,8.290000e-006,1.516330e-002,-2.420700e-004,8.072344e+002,1.088626e+003,2.836500e+001,7.988598e+002,4.169811e+002
9.000000e+000,9.000000e+000,2.501983e+004,9.478804e+002,6.185390e+003,-1.299360e+004,3.439703e+002,1.638980e+003,-1.607344e+002,6.588000e-001,4.222470e-003,9.586666e-002,5.973700e-004,8.721740e+002,7.239269e+002,2.928658e+001,7.050238e+002,4.177599e+002
